canonical_major_name,abbr,variant,2019,2020,2021,2022,2023,2024,2025
An toàn thông tin / An ninh mạng,HUST,advanced,,,27.44,,28.05,27.9,28.69
An toàn thông tin / An ninh mạng,HaUI,base,,,,,,24.39,23.43
An toàn thông tin / An ninh mạng,PTIT,base,23.35,26.25,26.55,26.7,26.04,25.85,25.21
An toàn thông tin / An ninh mạng,TLU,base,,,,25.25,24.21,24.17,22.04
Công nghệ thông tin,EPU,base,16.5,20.0,24.25,24.4,23.25,23.0,21.9
Công nghệ thông tin,HANU,english,22.15,24.65,26.05,25.45,24.7,24.17,26.02
Công nghệ thông tin,HUMG,base,15.0,17.0,20.0,23.0,24.0,23.75,21.5
Công nghệ thông tin,HUST,joint,26.0,28.38,27.85,27.25,28.16,28.01,28.66
Công nghệ thông tin,HaUI,base,22.8,25.6,26.05,26.15,25.19,25.22,23.09
Công nghệ thông tin,PTIT,base,24.1,26.65,26.9,27.25,26.59,26.4,25.8
Công nghệ thông tin,TLU,base,,,25.25,26.6,25.89,25.25,23.23
Công nghệ thông tin,UET,base,25.85,28.1,28.75,29.15,27.85,27.8,28.19
Công nghệ thông tin,UTC,base,21.5,24.75,25.65,25.9,25.38,25.41,23.7
Hệ thống thông tin,HUST,joint,20.0,,,,,,
Hệ thống thông tin,HaUI,base,20.2,23.5,25.25,25.15,24.31,24.44,21.1
Hệ thống thông tin,TLU,base,,,24.45,25.55,24.31,24.54,21.75
Hệ thống thông tin,UET,base,,,,25.0,26.95,26.87,26.38
Khoa học dữ liệu,EPU,base,,,,,,,16.5
Khoa học dữ liệu,HUMG,base,,,18.0,20.5,23.0,21.75,20.0
Khoa học dữ liệu,HUS,base,,25.2,26.55,26.45,26.14,26.25,26.0
Khoa học dữ liệu,UET,base,,,,,,,27.38
Khoa học máy tính,HaUI,base,21.15,24.7,25.65,25.65,25.05,25.32,23.72
Khoa học máy tính,PTIT,base,,,,26.9,26.55,26.31,26.21
Khoa học máy tính,UET,base,,,,27.25,27.25,27.58,27.86
Khoa học máy tính,UTC,base,,,,25.25,25.24,25.41,24.35
Kỹ thuật máy tính,EPU,base,,,,,,,20.83
Kỹ thuật máy tính,HUST,base,26.85,28.65,28.1,28.29,28.29,28.48,28.83
Kỹ thuật máy tính,HaUI,base,20.5,24.0,25.1,24.7,24.3,24.55,21.85
Kỹ thuật máy tính,UET,base,24.45,27.25,27.65,27.5,27.25,26.97,27.0
Kỹ thuật máy tính,UTC,base,,,,,,24.55,23.95
Kỹ thuật phần mềm,HaUI,base,21.05,24.3,25.4,25.35,24.54,24.68,21.75
Kỹ thuật phần mềm,TLU,base,,,24.6,25.8,24.68,24.87,21.55
Mạng máy tính và truyền thông dữ liệu,HaUI,base,19.65,23.1,25.05,24.65,24.17,24.35,21.7
Mạng máy tính và truyền thông dữ liệu,PTIT,base,,,,,24.88,25.59,24.4
Mạng máy tính và truyền thông dữ liệu,UET,base,,,,24.0,26.25,26.92,26.73
Trí tuệ nhân tạo,EPU,base,,,,,,,20.5
Trí tuệ nhân tạo,PTIT,base,,,,,,,25.67
Trí tuệ nhân tạo,UET,base,,,,27.0,27.2,27.12,27.75
Trí tuệ nhân tạo và Khoa học dữ liệu,HUST,advanced,27.0,28.65,28.04,,28.8,28.22,29.39
Trí tuệ nhân tạo và Khoa học dữ liệu,TLU,base,,,23.8,25.2,23.9,24.2,22.12
